,Id,modularity_class
1930,728,2
1931,4200,2
1932,7710,2
1933,4407,3
1934,5473,3
1935,4408,3
1936,8124,1
1937,4411,3
1938,6241,0
1939,6825,0
1940,11593,6
1941,5472,3
1942,3759,2
1943,6314,3
1944,2541,1
1945,3122,2
1946,7877,0
1947,5379,6
1948,3661,1
1949,4412,6
1950,4175,6
1951,8128,2
1952,4522,2
1953,2072,6
1954,4253,6
1955,5135,6
1956,5999,0
1957,7557,1
1958,1859,6
1959,2970,6
1960,2545,3
1961,1760,7
1962,1447,0
1963,1449,0
1964,4776,1
1965,8755,6
1966,4478,2
1967,5851,0
1968,7681,1
1969,3172,0
1970,928,1
1971,1801,1
1972,4628,6
1973,4531,3
1974,1529,4
1975,13302,0
1976,9807,2
1977,6642,6
1978,3748,0
1979,1885,2
1980,3630,2
1981,1764,6
1982,540,2
1983,317,3
1984,6889,0
1985,4406,3
1986,3174,0
1987,11592,6
1988,3462,0
1989,662,6
1990,5115,6
1991,2635,3
1992,2165,2
1993,3315,0
1994,2258,0
1995,3556,0
1996,2474,4
1997,15333,2
1998,5092,6
1999,4251,6
